,no,city,district,url
188,7,苗栗縣,泰安鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10005001800000000.html
189,7,彰化縣,彰化市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000100000000.html
190,7,彰化縣,鹿港鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000200000000.html
191,7,彰化縣,和美鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000300000000.html
192,7,彰化縣,線西鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000400000000.html
193,7,彰化縣,伸港鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000500000000.html
194,7,彰化縣,福興鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000600000000.html
195,7,彰化縣,秀水鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000700000000.html
196,7,彰化縣,花壇鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000800000000.html
197,7,彰化縣,芬園鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007000900000000.html
198,7,彰化縣,員林市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001000000000.html
199,7,彰化縣,溪湖鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001100000000.html
200,7,彰化縣,田中鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001200000000.html
201,7,彰化縣,大村鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001300000000.html
202,7,彰化縣,埔鹽鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001400000000.html
203,7,彰化縣,埔心鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001500000000.html
204,7,彰化縣,永靖鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001600000000.html
205,7,彰化縣,社頭鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001700000000.html
206,7,彰化縣,二水鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001800000000.html
207,7,彰化縣,北斗鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007001900000000.html
208,7,彰化縣,二林鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002000000000.html
209,7,彰化縣,田尾鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002100000000.html
210,7,彰化縣,埤頭鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002200000000.html
211,7,彰化縣,芳苑鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002300000000.html
212,7,彰化縣,大城鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002400000000.html
213,7,彰化縣,竹塘鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002500000000.html
214,7,彰化縣,溪州鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10007002600000000.html
215,7,南投縣,南投市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000100000000.html
216,7,南投縣,埔里鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000200000000.html
217,7,南投縣,草屯鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000300000000.html
218,7,南投縣,竹山鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000400000000.html
219,7,南投縣,集集鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000500000000.html
220,7,南投縣,名間鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000600000000.html
221,7,南投縣,鹿谷鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000700000000.html
222,7,南投縣,中寮鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000800000000.html
223,7,南投縣,魚池鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008000900000000.html
224,7,南投縣,國姓鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008001000000000.html
225,7,南投縣,水里鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008001100000000.html
226,7,南投縣,信義鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008001200000000.html
227,7,南投縣,仁愛鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10008001300000000.html
228,7,雲林縣,斗六市,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000100000000.html
229,7,雲林縣,斗南鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000200000000.html
230,7,雲林縣,虎尾鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000300000000.html
231,7,雲林縣,西螺鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000400000000.html
232,7,雲林縣,土庫鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000500000000.html
233,7,雲林縣,北港鎮,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000600000000.html
234,7,雲林縣,古坑鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000700000000.html
235,7,雲林縣,大埤鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000800000000.html
236,7,雲林縣,莿桐鄉,http://referendum.2018.nat.gov.tw/pc/zh_TW/01/10009000900000000.html
